scholar_id,name,gender,affiliation,url_picture,i10index,i10index5y,hindex,hindex5y,citedby,citedby5y,num_publications
stT2bnoAAAAJ,Gunther Eggeler,M,"Institute for Materials, Ruhr-University Bochum (RUB)",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=stT2bnoAAAAJ&citpid=10,310,225,72,49,21876,12366,742
_bs1TE0AAAAJ,Lidija Petkovska,F,"Professor of Electrical Machines and Drives, Ss. Ciril and Methodius University",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=_bs1TE0AAAAJ&citpid=3,15,5,11,7,689,243,148
WWKtZZYAAAAJ,James Dedrick,M,University of York,,8,6,9,8,246,193,56
C8Ir-n4AAAAJ,Finn Kuusisto,M,FANTM,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=C8Ir-n4AAAAJ&citpid=4,7,7,7,7,143,127,32
NlBmV2QAAAAJ,João Saraiva,M,HASLab / INESC TEC and Universidade do Minho,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=NlBmV2QAAAAJ&citpid=2,62,27,27,18,2435,1085,205
5ViOjzUAAAAJ,Alvaro del Val,M,Profesor de Ingeniería Informática (UAM),,21,2,17,4,863,64,32
rAajHKEAAAAJ,Monica Mars,F,"Researcher Satiety and Eating Behaviour, Wageningen University",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=rAajHKEAAAAJ&citpid=2,60,57,33,29,3759,2156,146
U83bK38AAAAJ,Dirk Van Hertem,M,KU Leuven & EnergyVille,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=U83bK38AAAAJ&citpid=2,98,83,37,32,6580,4846,344
iW0H-jgAAAAJ,George Kalliris,M,"Professor of Media Technologies, Aristotle University",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=iW0H-jgAAAAJ&citpid=2,32,22,19,14,2054,1121,96
4SCKy8AAAAAJ,Panagiotis Bamidis,M,"Prof Medical Physics, Medical Informatics, Medical Education, Aristotle University of Thessaloniki",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=4SCKy8AAAAAJ&citpid=2,154,106,41,33,7144,4519,621
lS1rJKQAAAAJ,Jens Lagergren,M,"KTH, Royal Institute of Technology",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=lS1rJKQAAAAJ&citpid=5,54,38,37,20,4727,1550,88
v3wbdoIAAAAJ,Andrew Moss,M,"Lektor in Computer Science, Blekinge Institute of Technology",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=v3wbdoIAAAAJ&citpid=2,9,4,9,6,464,119,17
lMLRsQQAAAAJ,Daniel Pereira,M,PhD Student @ University of Porto,,3,3,5,5,521,357,22
XS9QH_UAAAAJ,Bram Adams,M,Queen's University,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=XS9QH_UAAAAJ&citpid=2,125,106,53,44,8172,5698,278
JpcOG-MAAAAJ,Janne Riihijärvi,M,"Institute for Networked Systems, RWTH Aachen University",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=JpcOG-MAAAAJ&citpid=2,107,55,39,22,5627,1954,256
pBn5B2EAAAAJ,Athanasios Lagopoulos,M,"PhD  Student, School of Informatics, Aristotle University of Thessaloniki",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=pBn5B2EAAAAJ&citpid=6,2,2,5,5,47,47,11
wRrEbaAAAAAJ,Antoine Lambert,M,Université Bordeaux 1,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=wRrEbaAAAAAJ&citpid=1,11,8,11,9,594,285,21
9nnSYmMAAAAJ,Marcela Hernandez Hoyos,F,Systems and Computing Engineering Department - Universidad de los Andes,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=9nnSYmMAAAAJ&citpid=4,25,10,16,10,1414,671,147
MzD8rjoAAAAJ,David Tse,M,"Thomas Kailath and Guanghan Xu Professor, Stanford University",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=MzD8rjoAAAAJ&citpid=5,242,145,84,50,73369,17781,442
x3X-qysAAAAJ,Xiaopeng HONG (洪晓鹏),M,"Xi'an Jiaotong University, PRC",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=x3X-qysAAAAJ&citpid=6,40,38,23,23,2160,1947,112
lZIYYcEAAAAJ,Tobias J. Oechtering,M,"KTH Royal Institute of Technology, Division Information Science and Engineering",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=lZIYYcEAAAAJ&citpid=5,62,25,24,16,2337,753,194
v3o2gb8AAAAJ,Zhengya Gong,F,University of Oulu,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=v3o2gb8AAAAJ&citpid=2,0,0,1,1,1,1,2
u2YE0WQAAAAJ,Edgardo Montes de Oca,M,Montimage,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=u2YE0WQAAAAJ&citpid=1,18,15,13,12,647,465,99
x0xSb7MAAAAJ,Claudio Menghi,M,"University of Luxembourg, Interdisciplinary Centre for Security, Reliability and Trust",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=x0xSb7MAAAAJ&citpid=2,19,17,14,14,424,380,57
dg4e5MgAAAAJ,Laura Cottatellucci,F,Friedrich-Alexander University of Erlangen-Nuremberg,,34,17,19,14,1755,1098,109
Q6-XB_AAAAAJ,Odilson Tadeu Valle,M,Instituto Federal de Santa Catarina,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=Q6-XB_AAAAAJ&citpid=2,2,1,6,6,89,73,18
vKNi-WwAAAAJ,Daniele Spaccini,M,"Computer Science Department, University of Rome La Sapienza",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=vKNi-WwAAAAJ&citpid=2,16,12,13,11,659,534,36
UAF-ud8AAAAJ,Andreas Podelski,M,"Professor of Computer Science, Freiburg University",,148,70,45,27,8293,2352,401
TyHIbXcAAAAJ,Ekrem Kocaguneli,M,"Software Development Engineer 2, Microsoft",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=TyHIbXcAAAAJ&citpid=4,25,17,17,14,1707,1082,44
Sx6kHgkAAAAJ,Marc Palyart,M,"Data Scientist, Lectra, France",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=Sx6kHgkAAAAJ&citpid=3,10,7,10,8,397,296,22
vX45evgAAAAJ,Walid G. Aref,M,"Professor of Computer Science, Purdue University",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=vX45evgAAAAJ&citpid=3,158,84,60,31,14294,3768,317
HA9NPoEAAAAJ,Reinhard Schneider,M,"Head of Bioinformatics Core Facility, Luxembourg Centre for Systems Biomedicine (LCSB), University",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=HA9NPoEAAAAJ&citpid=3,92,61,48,34,14969,5442,204
A33eXhEAAAAJ,stephane perennes,M,cnrs,,85,20,29,12,3540,940,223
Qe1PyNQAAAAJ,Guillaume Fertin,M,"University of Nantes, LS2N, France",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=Qe1PyNQAAAAJ&citpid=2,53,28,29,17,2881,1073,173
BkWNdX4AAAAJ,Steven Jacques,M,"Affiliate Professor, University of Washington",,288,145,84,46,35698,10937,735
KubLyU0AAAAJ,Haroon Rasheed,M,Professor Bahria University Karachi,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=KubLyU0AAAAJ&citpid=2,10,6,10,8,333,240,105
yClETX4AAAAJ,James Franek,M,West Virginia University,,6,6,6,6,201,135,22
XRyUF6gAAAAJ,Mark Handley,M,"Professor of Networked Systems, University College London",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=XRyUF6gAAAAJ&citpid=2,137,73,78,35,58341,8260,257
fq9RjXsAAAAJ,Katerina Mania,F,"Associate Professor of Computer Science (HCI and VEs), Technical University of Crete",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=fq9RjXsAAAAJ&citpid=3,36,21,22,14,1814,914,151
GbIWqNIAAAAJ,David Sedarsky,M,Chalmers University,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=GbIWqNIAAAAJ&citpid=2,15,13,14,11,785,367,46
EHL1H38AAAAJ,Alexis Muller,M,Axellience,,14,3,12,6,350,98,34
ZmWyNaoAAAAJ,Mark Linne,M,Professor of Combustion Engines,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=ZmWyNaoAAAAJ&citpid=2,64,40,34,21,3836,1540,183
Fxe4WUMAAAAJ,Dr. Sulayman K. Sowe,M,University of Bayreuth,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=Fxe4WUMAAAAJ&citpid=5,18,9,14,9,875,338,60
ojzcStQAAAAJ,Folkert Ten Cate,M,Erasmus medical Center,,235,130,83,47,61385,27402,556
CHn1c0IAAAAJ,Arkadev Chattopadhyay,M,Associate Professor at Tata Institute of Fundamental Research,,22,13,15,11,702,410,60
Kv99D9YAAAAJ,Satya Joshi,F,University of Oulu,,7,5,8,7,204,132,16
nZ5lma4AAAAJ,Ramon Ferrus,M,Universitat Politècnica de Catalunya,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=nZ5lma4AAAAJ&citpid=2,50,29,24,18,2072,1201,221
V3XguCgAAAAJ,Ali Siadat,M,Professor at Arts et Métiers,,56,40,25,21,2358,1480,231
FVkH9NEAAAAJ,Maria Karampela,F,University of Oulu,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=FVkH9NEAAAAJ&citpid=1,1,1,4,4,52,51,12
OvSCQqoAAAAJ,George  P. Alexiou,M,"Professor of Computer Eng, Universtity of Patras, Greece",,5,1,6,3,182,31,28
