scholar_id,name,affiliation,gender,role,url_picture,i10index,i10index5y,hindex,hindex5y,citedby,citedby5y,num_publications,interests,cites_per_year
72e5VYEAAAAJ,Steven M. LaValle,University of Oulu,M,Professor,https://scholar.google.com/citations?view_op=medium_photo&user=72e5VYEAAAAJ,158,91,59,34,30593,12679,297,Virtual_reality robotics sensor_fusion motion_planning control_theory,1999-100 2000-132 2001-196 2002-236 2003-300 2004-565 2005-621 2006-897 2007-1122 2008-1267 2009-1423 2010-1452 2011-1715 2012-1613 2013-1882 2014-1913 2015-1960 2016-2050 2017-2091 2018-2311 2019-2649 2020-2690 2021-897
9P2jyr8AAAAJ,Timo Ojala,University of Oulu,M,Professor,https://scholar.google.com/citations?view_op=medium_photo&user=9P2jyr8AAAAJ,110,60,41,28,33500,16240,208,Virtual_reality hybrid_reality ubiquitous_computing urban_informatics,2001-92 2002-132 2003-145 2004-206 2005-326 2006-389 2007-495 2008-691 2009-779 2010-1207 2011-1581 2012-1949 2013-2469 2014-3012 2015-3267 2016-3332 2017-3320 2018-3254 2019-2938 2020-2445 2021-973
8aM6EeEAAAAJ,Jukka Riekki,University of Oulu,M,Professor,https://scholar.google.com/citations?view_op=medium_photo&user=8aM6EeEAAAAJ,113,46,32,22,4011,1767,299,edge_computing distributed_artificial_intelligence internet_of_things context-aware_computing,2000-15 2001-19 2002-7 2003-23 2004-35 2005-55 2006-118 2007-135 2008-157 2009-163 2010-190 2011-235 2012-205 2013-233 2014-233 2015-267 2016-284 2017-332 2018-337 2019-362 2020-327 2021-122
d4rhcDAAAAAJ,Denzil Ferreira,University of Oulu,M,Associate Professor,https://scholar.google.com/citations?view_op=medium_photo&user=d4rhcDAAAAAJ,49,47,28,27,2981,2484,110,Sensors_and_Instrumentation Mobile_and_Ubiquitous_Computing Mobile_HCI Context-aware,2012-36 2013-65 2014-135 2015-218 2016-312 2017-390 2018-482 2019-565 2020-516 2021-212
lwakBbMAAAAJ,Georgi V. Georgiev,University of Oulu,M,Associate Professor,https://scholar.google.com/citations?view_op=medium_photo&user=lwakBbMAAAAJ,10,7,10,8,317,208,101,design_creativity digital_fabrication idea_generation design_cognition design_computing,2007-3 2008-1 2009-9 2010-11 2011-19 2012-17 2013-19 2014-13 2015-10 2016-18 2017-29 2018-17 2019-53 2020-58 2021-31
Qzl_9xYAAAAJ,Simo Hosio,University of Oulu,M,Associate Professor,https://scholar.google.com/citations?view_op=medium_photo&user=Qzl_9xYAAAAJ,52,42,26,22,2624,1865,138,ubiquitous_computing social_computing digital_health public_displays,2006-8 2007-10 2008-11 2009-13 2010-37 2011-46 2012-61 2013-113 2014-208 2015-226 2016-263 2017-331 2018-369 2019-371 2020-377 2021-152
6DdDiEQAAAAJ,Susanna Pirttikangas,University of Oulu,F,Adjunct Professor ,https://scholar.google.com/citations?view_op=medium_photo&user=6DdDiEQAAAAJ,18,8,14,9,953,508,81,Situation_Awareness Edge_intelligence Artificial_Intelligence Activity_Recognition Ubiquitous_Computing,2003-5 2004-17 2005-9 2006-17 2007-14 2008-25 2009-37 2010-34 2011-56 2012-57 2013-46 2014-49 2015-58 2016-77 2017-87 2018-98 2019-96 2020-111 2021-42
f-jBRoIAAAAJ,Teemu Leppänen,University of Oulu,M,University Lecturer,https://scholar.google.com/citations?view_op=medium_photo&user=f-jBRoIAAAAJ,20,17,15,13,960,776,65,Internet_of_Things Edge_Computing Distributed_Artificial_Intelligence Mobile_Agents Multi-agent_systems,2010-3 2011-10 2012-9 2013-37 2014-50 2015-58 2016-78 2017-121 2018-167 2019-152 2020-175 2021-85
IuRI0cwAAAAJ,Mika Ylianttila,University of Oulu,M,Associate Professor,https://scholar.google.com/citations?view_op=medium_photo&user=IuRI0cwAAAAJ,117,76,39,29,6497,4000,291,Internet software-defined_networking network_security edge_computing,2000-22 2001-24 2002-48 2003-65 2004-103 2005-141 2006-173 2007-175 2008-184 2009-165 2010-251 2011-199 2012-180 2013-189 2014-185 2015-293 2016-399 2017-553 2018-562 2019-870 2020-1138 2021-470
o1Ap0TEAAAAJ,Tarik Taleb,University of Oulu,M,Professor,https://scholar.google.com/citations?view_op=medium_photo&user=o1Ap0TEAAAAJ,202,166,60,53,15488,12205,427,Network_Function_Virtualization Network_Softwarization Software_Defined_Networking,2007-41 2008-83 2009-123 2010-197 2011-267 2012-331 2013-468 2014-731 2015-858 2016-1121 2017-1596 2018-2390 2019-2790 2020-3067 2021-1217
